reviewed,origin,predicted_label,chosen_match,best_match,ontology_id,confidence,timestamp
True,ground_truth:tabula_sapiens,"naive thymus-derived cd8-positive, alpha-beta t cell","naive thymus-derived CD8-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900,1.0,2026-03-09T11:38:11+00:00
False,ground_truth:tabula_sapiens,nampt neutrophil,neutrophil,neutrophil,CL:0000775,0.519721269607544,2026-03-09T11:38:27+00:00
True,ground_truth:tabula_sapiens,neutrophil,neutrophil,neutrophil,CL:0000775,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,nk cell,natural killer cell,natural killer cell,CL:0000623,1.0,2026-03-09T11:38:11+00:00
False,ground_truth:tabula_sapiens,nkt cell,type II NK T cell,type II NK T cell,CL:0000922,0.6488185524940491,2026-03-09T11:38:27+00:00
True,ground_truth:tabula_sapiens,non-classical monocyte,non-classical monocyte,non-classical monocyte,CL:0000875,1.0,2026-03-09T11:38:11+00:00
False,ground_truth:tabula_sapiens,ocular surface cell,compound eye cone cell,compound eye cone cell,CL:0000718,0.712314784526825,2026-03-09T11:38:27+00:00
True,ground_truth:hiha,pDC,plasmacytoid dendritic cell,plasmacytoid dendritic cell,CL:0000784,1.0,2026-03-09T10:55:22+00:00
True,ground_truth:tabula_sapiens,pancreatic acinar cell,pancreatic acinar cell,pancreatic acinar cell,CL:0002064,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,pancreatic alpha cell,pancreatic A cell,pancreatic A cell,CL:0000171,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,pancreatic beta cell,type B pancreatic cell,type B pancreatic cell,CL:0000169,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,pancreatic ductal cell,pancreatic ductal cell,pancreatic ductal cell,CL:0002079,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,pancreatic stellate cell,pancreatic stellate cell,pancreatic stellate cell,CL:0002410,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,paneth cell of epithelium of large intestine,paneth cell of colon,paneth cell of colon,CL:0009009,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,paneth cell of epithelium of small intestine,paneth cell of epithelium of small intestine,paneth cell of epithelium of small intestine,CL:1000343,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,pericyte cell,pericyte,pericyte,CL:0000669,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,plasma cell,plasma cell,plasma cell,CL:0000786,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,plasmablast,plasmablast,plasmablast,CL:0000980,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,plasmacytoid dendritic cell,plasmacytoid dendritic cell,plasmacytoid dendritic cell,CL:0000784,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,platelet,platelet,platelet,CL:0000233,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,pulmonary ionocyte,pulmonary ionocyte,pulmonary ionocyte,CL:0017000,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:human_pancreas,quiescent_stellate,pancreatic stellate cell,stellate interneuron,CL:0002410,0.4285998940467834,2026-03-09T10:28:27+00:00
True,ground_truth:tabula_sapiens,radial glial cell,radial glial cell,radial glial cell,CL:0000681,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,regulatory t cell,regulatory T cell,regulatory T cell,CL:0000815,1.0,2026-03-09T11:38:11+00:00
False,ground_truth:tabula_sapiens,remaining cell_ontology_class,obsolete central cell,obsolete central cell,CL:0000278,0.5778366327285767,2026-03-09T11:38:27+00:00
True,ground_truth:tabula_sapiens,respiratory goblet cell,respiratory tract goblet cell,respiratory tract goblet cell,CL:0002370,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,retinal blood vessel endothelial cell,retinal blood vessel endothelial cell,retinal blood vessel endothelial cell,CL:0002585,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,retinal pigment epithelial cell,retinal pigment epithelial cell,retinal pigment epithelial cell,CL:0002586,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,salivary gland cell,salivary gland cell,salivary gland cell,CL:0009005,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:human_pancreas,schwann,Schwann cell,Schwann cell precursor,CL:0000218,0.514450192451477,2026-03-09T10:28:37+00:00
True,ground_truth:tabula_sapiens,secretory cell,secretory cell,secretory cell,CL:0000151,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,serous cell of epithelium of trachea,serous cell of epithelium of trachea,serous cell of epithelium of trachea,CL:1000330,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,skeletal muscle satellite stem cell,skeletal muscle satellite stem cell,skeletal muscle satellite stem cell,CL:0008011,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,slow muscle cell,slow muscle cell,slow muscle cell,CL:0000189,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,small intestine goblet cell,small intestine goblet cell,small intestine goblet cell,CL:1000495,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,smooth muscle cell,smooth muscle cell,smooth muscle cell,CL:0000192,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,stromal cell,stromal cell,stromal cell,CL:0000499,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,t cell,T cell,T cell,CL:0000084,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,t follicular helper cell,T follicular helper cell,T follicular helper cell,CL:0002038,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:human_pancreas,t_cell,t cell,T cell of appendix,CL:0000084,0.6326553821563721,2026-03-09T10:28:47+00:00
True,ground_truth:tabula_sapiens,tendon cell,tendon cell,tendon cell,CL:0000388,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,thymocyte,thymocyte,thymocyte,CL:0000893,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,tongue muscle cell,tongue muscle cell,tongue muscle cell,CL:0002673,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,tracheal goblet cell,tracheal goblet cell,tracheal goblet cell,CL:1000329,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,transit amplifying cell of large intestine,transit amplifying cell of colon,transit amplifying cell of colon,CL:0009011,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,transit amplifying cell of small intestine,transit amplifying cell of small intestine,transit amplifying cell of small intestine,CL:0009012,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,type i nk t cell,type I NK T cell,type I NK T cell,CL:0000921,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,type i pneumocyte,pulmonary alveolar type 1 cell,pulmonary alveolar type 1 cell,CL:0002062,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,type ii pneumocyte,pulmonary alveolar type 2 cell,pulmonary alveolar type 2 cell,CL:0002063,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,vascular associated smooth muscle cell,vascular associated smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,1.0,2026-03-09T11:38:11+00:00
True,ground_truth:tabula_sapiens,vein endothelial cell,vein endothelial cell,vein endothelial cell,CL:0002543,1.0,2026-03-09T11:38:11+00:00
